,Richness,Shannon,Simpson,Pielou,Chao1,ACE,goods_coverage,Group
H34,262,3.315144017,0.881736212,0.595355409,3.145123868,7.989422122,0.999583002,Health
H35,321,4.396447022,0.974844454,0.761758966,2.268843305,8.792001513,0.999608258,Health
H36,290,4.010091296,0.964540756,0.707261996,3.145145175,8.431219744,0.999568441,Health
H37,239,3.310017361,0.905593852,0.604407813,1.920083178,7.525754696,0.999690869,Health
H38,245,4.035953695,0.963372695,0.733641931,4.510562012,7.41725496,0.999545154,Health
H39,202,2.810042085,0.82503529,0.529370831,1.60258084,7.057258257,0.999733759,Health
H40,292,4.494262784,0.980433939,0.791695913,2.607439981,8.163828047,0.999687305,Health
H41,264,4.192238305,0.96463023,0.751843001,5.916794604,7.600491256,0.999405343,Health
H42,251,3.735655855,0.94118377,0.676081381,4.69960407,7.725034255,0.999540775,Health
H43,268,3.775779387,0.937529804,0.675333246,2.69956506,7.931578064,0.999552372,Health
H44,259,3.834688275,0.953772342,0.690085825,3.114413504,7.900470412,0.999498631,Health
H45,209,3.635185626,0.944566762,0.68044893,2.009191928,6.951457719,0.999721049,Health
H46,212,2.515520802,0.815670361,0.469612674,4.381572496,7.255494124,0.999423653,Health
H47,225,3.50456913,0.935232772,0.647065023,3.560242189,7.392309566,0.999557487,Health
H48,233,3.221962186,0.90802821,0.591073098,5.0801202,7.634356037,0.99938497,Health
H49,278,4.105063712,0.96023573,0.729449199,3.330119034,8.129072753,0.999596074,Health
H50,227,3.04946523,0.845671023,0.562118585,2.369107311,7.446713103,0.9995964,Health
H51,206,2.5008142,0.85158566,0.469382944,4.014265569,7.183963927,0.999356767,Health
H52,227,3.27858184,0.887827167,0.604352451,4.814527308,7.234381527,0.999616108,Health
H53,141,2.442620142,0.821889021,0.49358227,2.977416993,5.898935075,0.999562311,Health
D1,221,2.214116689,0.656552617,0.410161162,6.003984918,7.481425501,0.999190546,Disease
D2,211,3.450695017,0.920861398,0.644765786,1.523766358,6.984430512,0.999767946,Disease
D3,234,3.56921351,0.930741692,0.654262771,2.878676377,7.504564045,0.999503665,Disease
D4,203,3.522458886,0.93984949,0.662962983,0.978558163,6.96517678,0.999801461,Disease
D5,210,2.594661214,0.682837163,0.485245752,5.294008045,7.082235859,0.999458559,Disease
D6,154,2.814729765,0.88461976,0.558816012,1.920006938,6.153314359,0.999681478,Disease
D7,186,2.257176746,0.719293172,0.431933824,4.699437279,6.808224585,0.999538586,Disease
D8,122,2.092845895,0.801570568,0.435644614,3.557267555,5.535339395,0.99950876,Disease
D9,211,3.45426666,0.918387135,0.645433151,3.403850036,7.160144362,0.999498534,Disease
D10,159,3.242174566,0.932839574,0.639620406,5.467286095,6.272727697,0.999589794,Disease
D11,206,3.621927851,0.941046491,0.679807063,5.600325862,7.058612336,0.999407817,Disease
D12,249,3.926413034,0.952762505,0.71163508,4.188937628,7.708177583,0.999450571,Disease
D13,209,3.645471042,0.945422367,0.682374196,1.617947316,7.137194841,0.99969569,Disease
D14,247,4.092954996,0.96617817,0.742905518,4.699596281,7.30160127,0.999519096,Disease
D15,215,2.675007687,0.766808075,0.498080056,2.915915172,7.248436883,0.99962447,Disease
D16,162,2.533324097,0.775859842,0.497941254,2.335056524,6.278787644,0.999736555,Disease
D17,226,3.752513543,0.951357792,0.692277339,7.207378179,7.360304133,0.999396451,Disease
D18,176,1.952553452,0.624344762,0.377634561,3.106481127,6.628012045,0.999627283,Disease
D19,181,3.774191861,0.95709536,0.726015969,0.703861699,6.312533698,0.999872373,Disease
D20,178,2.761269772,0.863760105,0.532880184,1.968338856,6.670132442,0.999627807,Disease
D21,223,3.6310614,0.941201125,0.671526919,2.829054996,7.263419763,0.999678042,Disease
D22,204,3.617024742,0.950792201,0.680132217,3.337297127,7.018970212,0.999565097,Disease
D23,172,1.57457522,0.460734049,0.30589158,3.688218628,6.461672489,0.999664079,Disease
D24,221,3.394803393,0.889380478,0.628881266,2.205176485,7.018868522,0.999787587,Disease
D25,191,2.871163535,0.840415826,0.546651574,0.940265548,6.878601078,0.999809908,Disease
D26,205,2.69901458,0.789825388,0.507046688,3.970583113,7.121428314,0.999460126,Disease
D27,234,3.736697028,0.948143967,0.684963717,4.344083522,7.547639286,0.999328992,Disease
D28,265,3.613178114,0.888766956,0.647554313,3.330105329,7.999975675,0.999617532,Disease
D29,214,3.278352326,0.925361843,0.610951729,4.188890678,7.318508895,0.999369511,Disease
D30,180,3.243875485,0.911821672,0.624668292,1.875202468,6.47656214,0.999753917,Disease
D31,220,3.405239106,0.908747149,0.631344875,4.014279872,7.422087868,0.99921,Disease
D32,224,3.742420414,0.956613662,0.691549369,8.001604833,7.321088636,0.999418514,Disease
D33,257,4.017262831,0.960349063,0.723951658,6.040915959,7.818609156,0.999422433,Disease
D34,254,3.76060277,0.933240838,0.67913595,6.362319731,7.745349558,0.999543136,Disease
D35,257,3.87698356,0.952165181,0.698671905,6.291304994,7.925980391,0.999353391,Disease
D36,222,3.093414736,0.86302302,0.572570694,3.364440087,7.387513351,0.999538923,Disease
D37,245,3.836994186,0.954369314,0.697475748,4.534831952,7.844414864,0.999356256,Disease
D38,208,3.461349247,0.911132296,0.648491719,2.205146036,6.789073578,0.999810534,Disease
D39,243,3.572754184,0.915348544,0.650412201,3.768295151,7.652511784,0.999479146,Disease
D40,238,3.164932005,0.866090211,0.578358088,4.567287182,7.628339845,0.999351071,Disease
D41,269,4.151920332,0.967597147,0.742115196,1.617971075,8.108618195,0.999663767,Disease
D42,226,3.929074388,0.958601292,0.724849925,8.048580885,6.94761865,0.999644072,Disease
D43,142,2.286934646,0.780731407,0.461463772,3.821660457,5.882579044,0.999583475,Disease
D44,226,3.321686201,0.890285916,0.612796744,2.009208798,7.254678465,0.999737808,Disease
D45,167,3.116372782,0.917375364,0.608905148,7.245444787,6.404472186,0.999379147,Disease
D46,235,4.1824918,0.973059338,0.766082295,1.255646133,7.266479845,0.99984229,Disease
D47,395,4.161610258,0.946865359,0.696051141,7.207197977,9.910166062,0.998848369,Disease
D48,469,4.354554714,0.950985869,0.707988286,7.451716152,10.75641236,0.998714903,Disease
D49,439,4.306014792,0.946028744,0.707702393,4.812633661,10.42930362,0.998995829,Disease
D50,510,4.641307463,0.954845669,0.744466104,6.838904017,11.20368176,0.998678688,Disease
D51,403,3.792060258,0.8995909,0.63212208,4.515456055,10.02679255,0.998808105,Disease
D52,454,4.852914696,0.982194109,0.793206538,2.85356777,10.48230317,0.999246898,Disease
D53,456,4.72676091,0.980025666,0.772032088,4.520016272,10.4952221,0.999071854,Disease
D54,474,4.571158226,0.97360671,0.741925728,7.601930128,10.90802547,0.998554449,Disease
D55,363,4.424329788,0.973659199,0.750598477,3.800327635,9.34072334,0.999394917,Disease
D56,312,4.395286808,0.971203845,0.765328986,5.448885537,8.529435306,0.999423963,Disease
D57,328,4.467103216,0.973013041,0.771119061,5.448905755,8.537743796,0.999429758,Disease
D58,155,2.911922554,0.876861497,0.577370038,1.41490983,6.229518971,0.999657973,Disease
D59,116,2.589401171,0.779920373,0.544725369,1.934453821,4.896170794,0.999803652,Disease
D60,100,2.711500502,0.858254961,0.588794853,1.732270056,4.760648771,0.999811945,Disease
D61,206,3.965010717,0.966833267,0.74420099,1.187456388,6.903465093,0.999801548,Disease
D62,163,3.546465554,0.942960149,0.696238609,0,5.819366862,1,Disease
D63,204,3.75560554,0.94701549,0.706190448,1.934750782,6.435999127,0.999769085,Disease
D64,161,3.403208506,0.921930879,0.669737785,2.339937743,5.73488363,0.999921083,Disease
D65,171,3.187648342,0.906024251,0.619964396,0.443740829,6.325281276,0.999921353,Disease
D66,226,4.121545825,0.970156331,0.760357755,2.553517373,6.785317341,0.999712348,Disease
B1,194,2.504146834,0.736079333,0.475363375,6.003932049,6.71960368,0.997697709,Bile
B2,112,2.970021861,0.913772367,0.629442105,5.794051322,5.249891424,0.998379254,Bile
B3,257,4.684380592,0.980652382,0.84417307,8.307572171,7.86467876,0.991223258,Bile
B4,31,0.642673807,0.396397428,0.187150903,5.363798975,2.847627177,0.999739321,Bile
B5,174,1.535660354,0.475936328,0.297663092,2.681116941,6.556512147,0.999478782,Bile
B6,265,4.811192061,0.984646486,0.862262549,6.880623784,7.899007872,0.991818926,Bile
B7,314,4.908101356,0.983695605,0.853672965,4.955058622,8.827916198,0.99534563,Bile
B8,140,2.411016537,0.853149015,0.487897814,3.106385779,5.808841284,0.999527856,Bile
B9,344,4.118316623,0.901378174,0.70511373,3.605553023,9.218434344,0.999019471,Bile
B10,277,4.582857158,0.976106223,0.814872492,3.106617957,8.120219479,0.999202297,Bile
B11,152,3.094051694,0.883999625,0.615868885,1.759411712,6.003564913,0.998882265,Bile
B12,438,5.199883544,0.990489373,0.854931994,11.28086639,10.49304401,0.99594046,Bile
B13,26,0.574077952,0.290710494,0.176200412,2.254359653,2.547302316,0.999777662,Bile
B14,368,5.009185872,0.987968733,0.847853005,5.870316475,9.663226659,0.997279652,Bile
B15,42,0.938111026,0.476332234,0.250988215,5.366662893,3.250005345,0.999685025,Bile
B16,230,4.63910405,0.977744672,0.853077674,5.413023257,7.521026359,0.995465995,Bile
B17,209,4.074527906,0.960323782,0.762686817,6.147761968,7.188395475,0.99603624,Bile
B18,231,4.304994923,0.967266121,0.791007812,7.586979776,7.523330799,0.995230828,Bile
B19,250,4.399278005,0.975534685,0.796759783,5.208292562,7.863120691,0.996811902,Bile
B20,225,4.350310711,0.965681316,0.803218254,3.070798219,7.497117292,0.997783407,Bile
B21,249,2.574134606,0.794366641,0.466544011,7.081628304,7.657016359,0.997539807,Bile
B22,79,1.942574168,0.774373698,0.444581154,4.106073893,4.35581955,0.999620797,Bile
B23,432,5.227397902,0.991117255,0.861409245,6.926180398,10.47590238,0.996783991,Bile
B24,418,4.940059301,0.981792422,0.818502941,7.486456168,10.2200762,0.997378277,Bile
B25,76,1.470642127,0.634279329,0.339582702,10.33439553,4.576058594,0.99921716,Bile
B26,138,3.603224355,0.928810261,0.731284522,4.437505351,5.805294433,0.996797804,Bile
B27,397,3.805329122,0.897777273,0.635924071,7.306536254,9.357693457,0.995303661,Bile
B28,291,3.434719464,0.895285909,0.605415786,4.363000076,7.956190501,0.997904091,Bile
B29,314,4.317763579,0.960970775,0.750994686,9.048630534,8.794128322,0.988587732,Bile
B30,139,3.84428384,0.951641127,0.779066602,5.335739446,6.111788225,0.990336134,Bile
B31,7,0.596504152,0.312285125,0.306542495,0.231455025,1.44275043,0.999962746,Bile
B32,141,3.303241715,0.925254347,0.667488783,3.503561997,5.737754756,0.997424451,Bile
B33,342,4.707025688,0.977220242,0.806714373,12.41032541,9.257312249,0.989867226,Bile
B34,228,2.491558679,0.652371997,0.458905888,4.626225774,7.536638652,0.998915637,Bile
B35,287,2.983360771,0.749439915,0.527143766,1.891872465,8.397103502,0.999563594,Bile
B36,306,3.51945825,0.863635008,0.614904503,3.689843118,8.66541472,0.999176022,Bile
B37,452,3.784272281,0.866720279,0.618984136,5.286170119,10.64378852,0.998778421,Bile
B38,360,3.731098682,0.882177976,0.633882558,2.582911471,9.410681753,0.999430258,Bile
B39,315,2.955045208,0.754185255,0.513691072,6.448757595,8.838462316,0.99892797,Bile
B40,218,2.33355314,0.639949647,0.433383839,5.85667636,7.345234225,0.998613543,Bile
B41,377,3.353234398,0.816183862,0.56525553,8.506487012,9.693836408,0.998108484,Bile
B42,202,0.762459918,0.20644233,0.143636298,4.481559684,6.420224713,0.998995896,Bile
B43,432,3.985427898,0.905980884,0.656748252,4.602500202,10.399325,0.998962738,Bile
B44,155,3.516317499,0.904325417,0.69720823,10.65599569,6.281284778,0.99702381,Bile
B45,13,0.298101875,0.121202101,0.116221349,0.918264601,1.742223128,0.9999213,Bile
B46,181,4.278183122,0.966494336,0.822965387,5.226407811,6.518452335,0.995184591,Bile
B47,113,4.12373303,0.975575325,0.872306904,1.449629414,5.237451967,0.997469636,Bile
S1,276,3.562659913,0.937872696,0.633880038,11.28076615,8.505310778,0.996228491,Stone
S2,181,2.866120692,0.770604452,0.55133641,4.084381013,6.026732106,0.995624136,Stone
S3,517,4.284579971,0.956696058,0.68574753,6.286074304,11.08894351,0.997666773,Stone
S4,363,4.084947441,0.94204102,0.693021423,8.232392989,9.507948815,0.997373777,Stone
S5,201,1.158453932,0.319194977,0.218440001,12.06578429,7.112377385,0.998663942,Stone
S6,196,1.722082607,0.543435426,0.32626851,3.55955268,6.822668374,0.999262911,Stone
S7,325,4.288222645,0.968962667,0.741416365,12.04320271,9.175195894,0.99771192,Stone
S8,595,5.454399931,0.991111104,0.853775926,3.913988104,12.04548276,0.999084109,Stone
S9,330,4.882951128,0.984806083,0.84201985,2.908611214,9.025409527,0.997543353,Stone
S10,58,1.013860628,0.467511614,0.249692121,3.336526563,3.646701671,0.999589476,Stone
S11,464,4.605281128,0.969906508,0.750059889,9.651137806,10.59817903,0.993866794,Stone
S12,928,5.163475218,0.95946885,0.755663872,11.22155486,14.65547428,0.996360493,Stone
S13,883,5.059287436,0.960409219,0.745841794,7.229903754,14.08039977,0.996394641,Stone
S14,878,5.017483283,0.945618477,0.740298747,8.898729272,13.87389618,0.995346131,Stone
S15,879,4.580469358,0.923592205,0.67570655,12.42212981,13.97727614,0.99357252,Stone
S16,155,3.529412851,0.874050819,0.69980475,0.249192243,5.737912353,0.999884259,Stone
S17,456,4.223182414,0.919223656,0.689781523,7.524626483,10.38801304,0.995782912,Stone
S18,407,4.184264563,0.912804597,0.696354577,3.960452555,9.966695486,0.999036707,Stone
S19,374,4.141758747,0.907348874,0.699118824,4.11196558,9.581558193,0.998231796,Stone
S20,396,4.281746882,0.943827426,0.715841895,2.096973626,9.732459082,0.999462192,Stone
S21,268,1.924433098,0.555831742,0.344202751,9.838543206,8.19563611,0.998105059,Stone
S22,120,1.695575415,0.599910565,0.354167799,4.699091826,5.565145297,0.999477329,Stone
S23,151,3.985001316,0.960827324,0.794255343,2.595235231,5.797466424,0.999556803,Stone
S24,169,3.197736308,0.855537547,0.623352718,4.626106157,6.538875916,0.998385361,Stone
S25,62,0.08535726,0.019302728,0.020681968,8.654892799,4.563689171,0.999213159,Stone
